Index,Time,SPX
276,2023-04-10 13:34:58.861405+00:00,4076.3799
277,2023-04-10 13:34:59.681651+00:00,4076.3899
278,2023-04-10 13:35:00.520466+00:00,4076.22
279,2023-04-10 13:35:01.348701+00:00,4076.04
280,2023-04-10 13:35:02.238406+00:00,4075.6599
281,2023-04-10 13:35:03.067906+00:00,4075.6599
282,2023-04-10 13:35:03.894556+00:00,4075.6399
283,2023-04-10 13:35:04.719084+00:00,4075.55
284,2023-04-10 13:35:05.548735+00:00,4075.4199
285,2023-04-10 13:35:06.367157+00:00,4075.3999
286,2023-04-10 13:35:07.213474+00:00,4075.4099
287,2023-04-10 13:35:08.080968+00:00,4075.4099
288,2023-04-10 13:35:08.901694+00:00,4075.23
289,2023-04-10 13:35:09.768474+00:00,4075.1001
290,2023-04-10 13:35:10.598833+00:00,4075.03
291,2023-04-10 13:35:11.504940+00:00,4074.73
292,2023-04-10 13:35:12.370835+00:00,4074.5601
293,2023-04-10 13:35:13.312312+00:00,4074.5801
294,2023-04-10 13:35:14.175907+00:00,4074.55
295,2023-04-10 13:35:15.042459+00:00,4074.55
296,2023-04-10 13:35:15.949336+00:00,4074.5701
297,2023-04-10 13:35:16.786750+00:00,4074.48
298,2023-04-10 13:35:17.745507+00:00,4074.4199
299,2023-04-10 13:35:18.612604+00:00,4074.6201
300,2023-04-10 13:35:19.465379+00:00,4074.6299
301,2023-04-10 13:35:20.289247+00:00,4074.8401
302,2023-04-10 13:35:21.121200+00:00,4074.98
303,2023-04-10 13:35:21.953804+00:00,4074.98
304,2023-04-10 13:35:22.796031+00:00,4074.98
305,2023-04-10 13:35:23.670016+00:00,4074.8101
306,2023-04-10 13:35:24.576305+00:00,4074.5701
307,2023-04-10 13:35:25.402616+00:00,4074.6499
308,2023-04-10 13:35:26.222307+00:00,4074.73
309,2023-04-10 13:35:27.053074+00:00,4074.73
310,2023-04-10 13:35:27.953299+00:00,4074.7
311,2023-04-10 13:35:28.896256+00:00,4074.8501
312,2023-04-10 13:35:29.723229+00:00,4074.8201
313,2023-04-10 13:35:30.628183+00:00,4074.6001
314,2023-04-10 13:35:31.469901+00:00,4074.52
315,2023-04-10 13:35:32.416063+00:00,4074.28
316,2023-04-10 13:35:33.247047+00:00,4074.22
317,2023-04-10 13:35:34.079439+00:00,4074.22
318,2023-04-10 13:35:34.912752+00:00,4074.1699
319,2023-04-10 13:35:35.827308+00:00,4074.23
320,2023-04-10 13:35:36.692958+00:00,4074.27
321,2023-04-10 13:35:37.524930+00:00,4074.1699
322,2023-04-10 13:35:38.786390+00:00,4074.23
323,2023-04-10 13:35:39.684237+00:00,4074.23
324,2023-04-10 13:35:40.533753+00:00,4074.29
325,2023-04-10 13:35:41.402264+00:00,4074.1899
326,2023-04-10 13:35:42.333515+00:00,4074.0801
327,2023-04-10 13:35:43.162311+00:00,4074.1101
328,2023-04-10 13:35:43.987337+00:00,4074.1101
329,2023-04-10 13:35:44.850062+00:00,4074.04
330,2023-04-10 13:35:45.714881+00:00,4074.0901
331,2023-04-10 13:35:46.580576+00:00,4074.1299
332,2023-04-10 13:35:47.421130+00:00,4073.9399
333,2023-04-10 13:35:48.240633+00:00,4073.8501
334,2023-04-10 13:35:49.062002+00:00,4073.8501
335,2023-04-10 13:35:49.928672+00:00,4073.5701
336,2023-04-10 13:35:50.799868+00:00,4073.4099
337,2023-04-10 13:35:51.645795+00:00,4073.23
338,2023-04-10 13:35:52.480395+00:00,4073.21
339,2023-04-10 13:35:53.426545+00:00,4072.8701
340,2023-04-10 13:35:54.291129+00:00,4072.8201
341,2023-04-10 13:35:55.197860+00:00,4072.72
342,2023-04-10 13:35:56.025884+00:00,4072.72
343,2023-04-10 13:35:56.894473+00:00,4072.5801
344,2023-04-10 13:35:57.891064+00:00,4072.55
345,2023-04-10 13:35:58.762205+00:00,4072.78
346,2023-04-10 13:35:59.588541+00:00,4073.2
347,2023-04-10 13:36:00.459181+00:00,4073.1101
348,2023-04-10 13:36:01.359492+00:00,4072.95
349,2023-04-10 13:36:02.193512+00:00,4073.1001
350,2023-04-10 13:36:03.040421+00:00,4073.1001
351,2023-04-10 13:36:03.880081+00:00,4073.1299
352,2023-04-10 13:36:04.710202+00:00,4073.1399
353,2023-04-10 13:36:05.541437+00:00,4073.02
354,2023-04-10 13:36:06.365117+00:00,4073.1299
355,2023-04-10 13:36:07.234445+00:00,4073.23
356,2023-04-10 13:36:08.135789+00:00,4073.3301
357,2023-04-10 13:36:08.957071+00:00,4073.3301
358,2023-04-10 13:36:09.780537+00:00,4073.3
359,2023-04-10 13:36:10.605200+00:00,4073.48
360,2023-04-10 13:36:11.437805+00:00,4073.51
361,2023-04-10 13:36:12.340713+00:00,4073.4299
362,2023-04-10 13:36:13.282230+00:00,4073.3201
363,2023-04-10 13:36:14.230035+00:00,4073.52
364,2023-04-10 13:36:15.094772+00:00,4073.52
365,2023-04-10 13:36:15.920871+00:00,4073.48
366,2023-04-10 13:36:16.791444+00:00,4073.6399
367,2023-04-10 13:36:17.691710+00:00,4073.52
368,2023-04-10 13:36:18.561334+00:00,4073.52
369,2023-04-10 13:36:19.393829+00:00,4073.3899
370,2023-04-10 13:36:20.223606+00:00,4073.45
371,2023-04-10 13:36:21.128703+00:00,4073.45
372,2023-04-10 13:36:21.995247+00:00,4073.3899
373,2023-04-10 13:36:22.822683+00:00,4073.3201
374,2023-04-10 13:36:23.683465+00:00,4073.25
375,2023-04-10 13:36:24.508792+00:00,4073.3501
376,2023-04-10 13:36:25.335439+00:00,4073.28
377,2023-04-10 13:36:26.169385+00:00,4073.28
378,2023-04-10 13:36:27.070786+00:00,4073.28
379,2023-04-10 13:36:27.902320+00:00,4073.3401
380,2023-04-10 13:36:28.728607+00:00,4073.1299
381,2023-04-10 13:36:29.557592+00:00,4073.1101
382,2023-04-10 13:36:30.386836+00:00,4073.0801
383,2023-04-10 13:36:31.217294+00:00,4073.1399
384,2023-04-10 13:36:32.086576+00:00,4073.1399
385,2023-04-10 13:36:32.908952+00:00,4072.9299
386,2023-04-10 13:36:33.739416+00:00,4073.0601
387,2023-04-10 13:36:34.563904+00:00,4073.03
388,2023-04-10 13:36:35.432541+00:00,4072.9299
389,2023-04-10 13:36:36.285827+00:00,4072.9199
390,2023-04-10 13:36:37.158530+00:00,4073.0
391,2023-04-10 13:36:37.989816+00:00,4073.0
392,2023-04-10 13:36:38.940238+00:00,4072.99
393,2023-04-10 13:36:39.803153+00:00,4072.97
394,2023-04-10 13:36:40.704673+00:00,4073.02
395,2023-04-10 13:36:41.531199+00:00,4072.99
396,2023-04-10 13:36:42.433305+00:00,4073.1499
397,2023-04-10 13:36:43.294243+00:00,4073.05
398,2023-04-10 13:36:44.120105+00:00,4073.05
399,2023-04-10 13:36:45.029891+00:00,4073.1101
400,2023-04-10 13:36:45.895925+00:00,4073.1699
401,2023-04-10 13:36:46.722734+00:00,4073.23
402,2023-04-10 13:36:47.583941+00:00,4073.1699
403,2023-04-10 13:36:48.407692+00:00,4073.1201
404,2023-04-10 13:36:49.307272+00:00,4073.1101
405,2023-04-10 13:36:50.146217+00:00,4073.04
406,2023-04-10 13:36:51.069282+00:00,4073.04
407,2023-04-10 13:36:51.937021+00:00,4073.1201
408,2023-04-10 13:36:52.767769+00:00,4073.1799
409,2023-04-10 13:36:53.707501+00:00,4073.22
410,2023-04-10 13:36:54.534758+00:00,4073.4099
411,2023-04-10 13:36:55.357066+00:00,4073.5801
412,2023-04-10 13:36:56.184988+00:00,4073.5701
413,2023-04-10 13:36:57.086572+00:00,4073.5701
414,2023-04-10 13:36:57.988513+00:00,4073.5601
415,2023-04-10 13:36:58.823651+00:00,4073.6201
416,2023-04-10 13:36:59.715787+00:00,4073.6001
417,2023-04-10 13:37:00.575820+00:00,4073.6299
418,2023-04-10 13:37:01.406313+00:00,4073.73
