ID,Time,SPX
277,2023-04-13 13:34:58.988281+00:00,4105.6499
278,2023-04-13 13:34:59.928666+00:00,4105.5498
279,2023-04-13 13:35:00.796580+00:00,4105.4302
280,2023-04-13 13:35:01.736737+00:00,4105.6802
281,2023-04-13 13:35:02.575151+00:00,4105.8599
282,2023-04-13 13:35:03.474758+00:00,4106.0698
283,2023-04-13 13:35:04.304756+00:00,4106.1499
284,2023-04-13 13:35:05.174957+00:00,4106.0098
285,2023-04-13 13:35:06.034522+00:00,4106.0098
286,2023-04-13 13:35:06.876603+00:00,4105.7798
287,2023-04-13 13:35:07.709434+00:00,4105.2798
288,2023-04-13 13:35:08.576347+00:00,4105.21
289,2023-04-13 13:35:09.478183+00:00,4105.5498
290,2023-04-13 13:35:10.345620+00:00,4105.6201
291,2023-04-13 13:35:11.210143+00:00,4105.54
292,2023-04-13 13:35:12.077278+00:00,4105.54
293,2023-04-13 13:35:12.916607+00:00,4105.3501
294,2023-04-13 13:35:13.760121+00:00,4105.4902
295,2023-04-13 13:35:14.629868+00:00,4105.5298
296,2023-04-13 13:35:15.505643+00:00,4105.6299
297,2023-04-13 13:35:16.332486+00:00,4105.48
298,2023-04-13 13:35:17.160738+00:00,4105.3901
299,2023-04-13 13:35:18.034955+00:00,4105.3901
300,2023-04-13 13:35:18.866624+00:00,4105.54
301,2023-04-13 13:35:19.689612+00:00,4105.52
302,2023-04-13 13:35:20.512040+00:00,4105.6099
303,2023-04-13 13:35:21.452036+00:00,4105.6699
304,2023-04-13 13:35:22.279219+00:00,4105.5801
305,2023-04-13 13:35:23.187160+00:00,4105.6899
306,2023-04-13 13:35:24.014935+00:00,4105.6899
307,2023-04-13 13:35:24.840199+00:00,4105.46
308,2023-04-13 13:35:25.665933+00:00,4105.3901
309,2023-04-13 13:35:26.567927+00:00,4105.1001
310,2023-04-13 13:35:27.434585+00:00,4104.98
311,2023-04-13 13:35:28.263393+00:00,4104.98
312,2023-04-13 13:35:29.199369+00:00,4104.9302
313,2023-04-13 13:35:30.069372+00:00,4104.9302
314,2023-04-13 13:35:30.933810+00:00,4105.0298
315,2023-04-13 13:35:31.801402+00:00,4105.0698
316,2023-04-13 13:35:32.639470+00:00,4105.21
317,2023-04-13 13:35:33.464970+00:00,4105.2998
318,2023-04-13 13:35:34.292035+00:00,4105.3101
319,2023-04-13 13:35:35.124609+00:00,4105.3701
320,2023-04-13 13:35:35.955704+00:00,4105.3701
321,2023-04-13 13:35:36.862367+00:00,4105.4302
322,2023-04-13 13:35:37.694958+00:00,4105.2402
